250;271
62;543
42;523
165;7
569;177
191;400
375;578
179;12
400;446
178;426
167;42
376;298
277;320
142;302
463;544
29;360
317;192
245;2
47;533
27;174
418;181
273;58
96;387
591;215
398;118
495;343
574;95
518;136
189;565
471;529
575;14
569;448
254;156
313;70
162;457
410;592
234;497
424;403
256;179
549;506
187;595
27;495
598;559
207;428
534;468
495;317
545;100
418;420
265;158
325;199
191;315
47;442
293;480
322;589
452;413
305;427
364;360
281;62
18;311
464;441
91;105
202;68
503;71
123;502
505;284
15;98
451;198
444;312
302;48
257;230
342;469
392;507
300;555
54;201
486;98
468;381
369;31
590;539
199;50
424;530
355;128
225;498
104;14
511;277
537;363
234;377
68;328
109;521
16;422
310;386
238;508
479;273
292;276
317;319
83;217
454;134
146;80
208;202
547;63
292;487
